Task,Model,N_Features,Role,AUC_ROC,Avg_Precision,Precision,Recall,F1
Up >3% in 10 days,CGECD Combined (Ours),206,ours,0.7716352991371954,0.3951936206125578,0.3786848072562358,0.7877358490566038,0.5114854517611026
Up >3% in 10 days,Spectral Only RF,179,ablation,0.6204199353945546,0.30012523642974887,0.29559748427672955,0.6409090909090909,0.40459110473457677
Up >3% in 10 days,Traditional RF,27,bench,0.7355028269908552,0.3150578888888468,0.33421052631578946,0.7094972067039106,0.4543828264758497
Up >3% in 10 days,Turbulence RF,5,bench,0.646990473074732,0.3278723165890085,0.2964669738863287,0.8502202643171806,0.43963553530751703
Up >3% in 10 days,HAR-RV LR,4,bench,0.6959523487207256,0.3574950914499677,0.2873051224944321,0.7247191011235955,0.4114832535885168
Up >3% in 10 days,SMA Vol LR,9,bench,0.6821169145624352,0.34953294064325346,0.30745341614906835,0.5439560439560439,0.39285714285714285
Drawdown >7% in 10 days,CGECD Combined (Ours),206,ours,0.7108652103405514,0.08565786885069666,0.11224489795918367,0.6,0.18911174785100288
Drawdown >7% in 10 days,Spectral Only RF,179,ablation,0.6660798548094374,0.0861261947619912,0.11258278145695365,0.5862068965517241,0.18888888888888888
Drawdown >7% in 10 days,Traditional RF,27,bench,0.6082992046533713,0.08872656709930095,0.11946902654867257,0.375,0.18120805369127516
Drawdown >7% in 10 days,Turbulence RF,5,bench,0.5650574578771643,0.06166875639701597,0.08022922636103152,0.5185185185185185,0.13895781637717125
Drawdown >7% in 10 days,HAR-RV LR,4,bench,0.7633547008547008,0.24013228878278095,0.3333333333333333,0.4166666666666667,0.3703703703703704
Drawdown >7% in 10 days,SMA Vol LR,9,bench,0.670747269705603,0.1733026745109639,0.1712962962962963,0.5138888888888888,0.2569444444444445
